Year,Station,January ,February,March,April,May,June,July,August,September,October,November,December,Annual,pre_monsoon,post_monsoon,winter, monsoon
2002,Teknaf,0.06,0,1.48,0.27,16.06,26.93,36.65,22.26,8.57,10.97,4.73,0,10.76,5.94,7.85,0.02,23.60
2003,Teknaf,0,0,0.55,0,7.13,54.6,26.52,29.42,22.3,5.84,0,0.26,12.24,2.56,2.92,0.09,33.21
2004,Teknaf,0,0,0,3.43,14.1,22.67,29,38.55,12.63,15.23,0.3,0,11.4,5.84,7.77,0.00,25.71
2005,Teknaf,0,0,0.32,2.57,3.65,34.1,30.74,42.68,9.1,3.65,0.47,1.94,10.85,2.18,2.06,0.65,29.16
2006,Teknaf,0,0,0,1.03,23.35,16.37,37.1,23,27.47,7.65,1.43,0,11.54,8.13,4.54,0.00,25.99
2007,Teknaf,0,0.29,0,2.3,9.35,19.93,51.16,20.32,15.3,20.06,6.83,0,12.24,3.88,13.45,0.10,26.68
2008,Teknaf,1.94,0.24,0,0,10.81,37.83,66.84,31.48,17.33,9.19,0.17,0,14.74,3.60,4.68,0.73,38.37
2009,Teknaf,0,0,0,3.17,10.1,18.07,46.9,27.48,18.5,5.61,0.1,0,10.93,4.42,2.86,0.00,27.74
2010,Teknaf,0,0,1.06,0.27,15.87,36.3,28.42,16.87,13.33,19.42,0.5,6.23,11.61,5.73,9.96,2.08,23.73
2011,Teknaf,0.29,0.04,0.35,4.33,10.06,39.33,27.35,37.52,27.53,15.29,0,0,13.57,4.91,7.65,0.11,32.93
2012,Teknaf,0,0,0.71,4.73,4.97,47.7,43.52,29.48,16.53,10.29,0.77,0,13.25,3.47,5.53,0.00,34.31
2013,Teknaf,0,0,0,1.13,24.29,27.37,36.35,26.35,10.97,8.74,0,0,11.38,8.47,4.37,0.00,25.26
2014,Teknaf,0,0.79,0,0.03,2.52,29.57,28.84,31.06,16.9,2.1,1,0.03,9.45,0.85,1.55,0.27,26.59
2015,Teknaf,0.35,0,0,3.7,4.1,56.5,55.16,29.42,23.67,6.48,1.47,0.45,15.16,2.60,3.98,0.27,41.19
2016,Teknaf,0,0,0.65,0.73,11.16,28.9,43.58,29.19,17.07,6.71,1.77,0,11.7,4.18,4.24,0.00,29.69
2017,Teknaf,0,0,4.13,5.43,5.35,28.53,45.45,24.03,16.27,5.29,0.3,0.9,11.39,4.97,2.80,0.30,28.57
2018,Teknaf,2.97,0,0,0.4,5.84,33.37,41.55,20.42,8.13,19.13,0.17,0.32,11.12,2.08,9.65,1.10,25.87
2019,Teknaf,0,0.04,2.61,0.2,2.48,10.37,41.55,20.42,8.13,5.29,0.3,0.9,7.79,1.76,2.80,0.31,20.12
2020,Teknaf,0.39,0,0,2.47,7.32,21.2,29.39,37.97,19,6.29,3.27,0,10.66,3.26,4.78,0.13,26.89
2021,Teknaf,0,0,0,0.4,1.9,29.13,34.45,22.68,5.77,4.32,0,0.68,8.34,0.77,2.16,0.23,23.01
2022,Teknaf,0,0.18,0,1.1,8.39,29.17,9.1,17.06,14.77,5.61,0.9,0,7.2,3.16,3.26,0.06,17.53
2023,Teknaf,0,0,0.39,1.1,8.39,29.17,12.1,17.06,14.77,5.61,0.9,0,7.47,3.29,3.26,0.00,18.28
1985,Faridpur,0.06,0.07,4.32,5.83,6.71,7.3,7,7.03,8.5,1.81,0,0,4.07,5.62,0.91,0.04,7.46
1986,Faridpur,0.1,0,0.13,7.33,6.1,7.6,11.52,6.74,27.7,4.1,4.97,0.06,6.35,4.52,4.54,0.05,13.39
1987,Faridpur,0,0.29,1.23,3.5,5.06,12.8,11.35,13.26,15.2,1.52,0.47,0.74,5.47,3.26,1.00,0.34,13.15
1988,Faridpur,0,1.17,3.16,4.43,16.48,15.6,7.77,8.16,4.27,5.45,4.93,0.32,5.99,8.02,5.19,0.50,8.95
1989,Faridpur,0,0.18,0.16,4.13,8.48,8.07,7.84,2.55,9.23,5.74,0,0.29,3.9,4.26,2.87,0.16,6.92
1990,Faridpur,0,1.29,7.32,5.2,10.16,9.63,13.06,4.68,6.4,5.42,1.6,0.13,5.44,7.56,3.51,0.47,8.44
1991,Faridpur,0.87,2.07,1.9,3.43,8.55,11.23,9.87,6,12,11.29,0.03,3.35,5.91,4.63,5.66,2.10,9.78
1992,Faridpur,0.13,2.1,0,0.17,6.97,7.93,12.48,6.74,3.17,3.9,0,0,3.65,2.38,1.95,0.74,7.58
1993,Faridpur,0,2.04,1.55,5.97,4.97,17.13,7.19,11.35,13.63,10.32,0,0,6.18,4.16,5.16,0.68,12.33
1994,Faridpur,0.35,1.11,1.42,4.47,6.35,8.6,7.94,8,3.57,2.13,0.07,0,3.68,4.08,1.10,0.49,7.03
1995,Faridpur,0.23,0.29,0,1.5,9.06,13.17,16.35,11.81,8.53,1.35,3.23,0.06,5.5,3.52,2.29,0.19,12.47
1996,Faridpur,0.06,0.52,0.9,6.07,9.13,10.53,6.77,14.42,3.83,6.84,0,0,4.95,5.37,3.42,0.19,8.89
1997,Faridpur,0.35,0.93,0.65,5.2,4.42,8.87,10.87,10.65,5.4,2.19,1.77,0.58,4.34,3.42,1.98,0.62,8.95
1998,Faridpur,1.58,0.79,2.23,4.07,6.61,6.73,11.52,10.52,9.4,2.39,3.17,0,4.94,4.30,2.78,0.79,9.54
1999,Faridpur,0,0,0,1.97,6.71,11.17,13.58,13.68,6.8,13.61,0.13,0,5.69,2.89,6.87,0.00,11.31
2000,Faridpur,0.55,1.97,1,5.63,12.84,4.27,4.94,9.65,13.3,8.23,0,0,5.21,6.49,4.12,0.84,8.04
2001,Faridpur,0,0.11,0.68,4.13,9.23,10.83,7.71,7.13,6.87,5.32,1.43,0,4.47,4.68,3.38,0.04,8.14
2002,Faridpur,0.61,0,1.81,3.03,9.23,13.17,18.9,13.55,5.27,1.23,4.33,0,5.97,4.69,2.78,0.20,12.72
2003,Faridpur,0,4.04,3.55,3.63,2.87,9.8,8.9,4.16,2.7,5.87,0,0.84,3.86,3.35,2.94,1.63,6.39
2004,Faridpur,0.1,0,0.19,1.73,6.71,14,7.58,5.03,25.47,5.03,0,0.06,5.47,2.88,2.52,0.05,13.02
2005,Faridpur,0.26,0.25,4.39,0.43,2.19,7.77,12.39,8.9,5.57,11.52,0,0.03,4.52,2.34,5.76,0.18,8.66
2006,Faridpur,0,0,0,4.27,7.03,7.63,10.97,6.55,16.2,1.77,0.03,0,4.55,3.77,0.90,0.00,10.34
2007,Faridpur,0,2.11,0.13,2,3,17.6,21.81,6.97,4.33,5.81,3.13,0,5.59,1.71,4.47,0.70,12.68
2008,Faridpur,1.35,1.55,1,1.03,1.87,7.87,13.87,5.61,7.43,5.55,0,0,3.94,1.30,2.78,0.97,8.70
2009,Faridpur,0,0.07,1,0.5,5.35,5.83,16.87,13.23,5.5,2.23,0.1,0,4.27,2.28,1.17,0.02,10.36
2010,Faridpur,0,0.21,0,0.4,4.58,12.23,6.94,6.48,6.5,6.1,0.4,2,3.84,1.66,3.25,0.74,8.04
2011,Faridpur,0,0,0.55,3.63,5.26,12.77,8.16,15.13,3.77,0.06,0,0,4.13,3.15,0.03,0.00,9.96
2012,Faridpur,0.97,0.03,0.13,5.6,3.52,4.27,8.13,7.13,5.5,2.68,3.7,0.23,3.49,3.08,3.19,0.41,6.26
2013,Faridpur,0,0.43,0.39,1.83,12.26,9.7,6.39,8.52,7.5,6.52,0,0,4.49,4.83,3.26,0.14,8.03
2014,Faridpur,0,0.43,0,0.97,6.16,14.87,7.94,11.94,5.5,2.65,0,0,4.22,2.38,1.33,0.14,10.06
2015,Faridpur,0.19,0.75,0.06,5.3,4.74,11.57,17.42,9.77,7.17,2.58,0,0.19,5,3.37,1.29,0.38,11.48
2016,Faridpur,0.06,0.55,0.77,1.9,7.16,9.37,16.13,9.84,4.17,2.87,0.93,0,4.51,3.28,1.90,0.20,9.88
2017,Faridpur,0,0,2.68,5.07,6.29,10.43,16.13,9.55,7.3,9.39,0.47,0.94,5.73,4.68,4.93,0.31,10.85
2018,Faridpur,0,0.14,0.19,7.4,8.32,7.47,13.61,2.55,4.77,2.19,0.73,0.42,4,5.30,1.46,0.19,7.10
2019,Faridpur,0,3.36,0.32,2.4,5.29,3.5,13.61,2.55,7.3,9.39,0.93,0,4.07,2.67,5.16,1.12,6.74
2020,Faridpur,0.77,0.07,1,3.73,10.19,8.5,32.42,28.68,24.07,3.16,9.6,0,10.22,4.97,6.38,0.28,23.42
2021,Faridpur,0,0,0,0.6,5.65,10.57,15,11.68,4.13,2.26,0.97,5.61,4.75,2.08,1.62,1.87,10.35
2022,Faridpur,0.23,1.32,0,1.2,8.26,7.43,3.58,7.87,6.03,9.55,0,0.06,3.82,3.15,4.78,0.54,6.23
2023,Faridpur,0,0,1.06,3.93,4.39,7.43,5.97,9.45,6.33,9.23,0.17,2.35,4.22,3.13,4.70,0.78,7.30
1985,Feni,0.1,0.18,3.39,4.43,10.97,23.77,20.48,20.97,8.7,0.74,0.17,0.03,7.87,6.26,0.46,0.10,18.48
1986,Feni,0.35,0.64,0,7.43,7.81,11.23,22.61,14.52,16.23,5.84,3.47,0,7.55,5.08,4.66,0.33,16.15
1987,Feni,0.1,0.04,2,13.17,5.32,10.67,30.23,26.19,18.33,1.42,1.37,0.45,9.16,6.83,1.40,0.20,21.36
1988,Feni,0,1.1,0.13,5,15.16,12.77,23.45,25.84,17.93,7.26,2.9,0,9.34,6.76,5.08,0.37,20.00
1989,Feni,0,0.82,0.48,4.2,7.26,19.9,33.81,3.35,11.2,20.42,0.07,0,8.52,3.98,10.25,0.27,17.07
1990,Feni,0,1.11,9.26,7.1,15.65,18.17,31.35,17.52,9.03,12.68,5.93,2,10.9,10.67,9.31,1.04,19.02
1991,Feni,0.13,2.75,1.9,7.1,21,25.67,24.29,14.06,24.63,13.55,1.37,0.32,11.43,10.00,7.46,1.07,22.16
1992,Feni,0,3.1,0,0,7.39,9.97,12.39,7,10.57,6.13,0.57,0.03,4.77,2.46,3.35,1.04,9.98
1993,Feni,0,5.21,5.9,12.77,16.94,21.87,19.87,25.29,11.93,8.03,0.4,0,10.72,11.87,4.22,1.74,19.74
1994,Feni,0.06,0.11,1.81,11.8,5.74,17.8,7.35,11.52,7.67,1.77,0.2,0,5.49,6.45,0.99,0.06,11.09
1995,Feni,0.03,2.18,1.74,2.9,13.68,21.3,20,17.71,10.63,1.06,7.4,0,8.24,6.11,4.23,0.74,17.41
1996,Feni,0.1,0.34,8.61,3.63,7.97,16.87,17.45,21.1,6.73,9.61,0,0.16,7.77,6.74,4.81,0.20,15.54
1997,Feni,0,0.86,3.71,3.07,7.65,10.77,25.61,19.87,15.5,0.97,0.07,0.55,7.44,4.81,0.52,0.47,17.94
1998,Feni,1.13,0.61,4.84,13.57,13.39,8.27,31.58,31.03,11.27,2.94,6.57,0,10.52,10.60,4.76,0.58,20.54
1999,Feni,0,0,1.32,0.13,13.19,27.9,31.35,18.42,8.33,7.48,1.9,1.03,9.33,4.88,4.69,0.34,21.50
2000,Feni,1.1,0.34,6.29,5.93,16.77,19.8,23.16,22.94,12.53,6.77,2,0,9.85,9.66,4.39,0.48,19.61
2001,Feni,0,0.14,0,1.33,10.39,25.67,15.48,19,3.37,5.71,1.87,0,6.96,3.91,3.79,0.05,15.88
2002,Feni,0.13,0,3.06,3.13,14.68,15.33,25.48,14.23,7.27,0.65,2.83,0,7.29,6.96,1.74,0.04,15.58
2003,Feni,0,0.07,2.97,1.6,3,34.87,12.81,10.16,11.87,7.81,0,1.94,7.26,2.52,3.91,0.67,17.43
2004,Feni,0,0,0,5.9,5.97,15.6,16.1,3.65,23.6,8.19,0,0,6.57,3.96,4.10,0.00,14.74
2005,Feni,0.35,0,0,6.27,10.68,9.73,25.29,20.84,9.3,11.16,0.73,0,7.94,5.65,5.95,0.12,16.29
2006,Feni,0,0,0,1.73,18.61,13,14.16,6.32,12.93,1.68,0,0,5.74,6.78,0.84,0.00,11.60
2007,Feni,0,2.61,0.13,4.27,9.1,16.97,31.29,12.94,20.03,16.1,2.5,0,9.7,4.50,9.30,0.87,20.31
2008,Feni,0.94,0.55,0.97,0.53,9.19,16.83,25.42,24.06,8.3,8.68,0,0,8.01,3.56,4.34,0.50,18.65
2009,Feni,0,0.04,0.65,1.2,16.32,12.37,27.55,21.94,7.8,7.29,1.83,0,8.17,6.06,4.56,0.01,17.42
2010,Feni,0,1.29,0.19,2.07,10.9,24.27,14.32,11.23,10.7,12.35,0.67,0.74,7.42,4.39,6.51,0.68,15.13
2011,Feni,0,0.36,1.77,1.93,14.1,19.97,18.58,26.84,13.4,7.26,0,0,8.75,5.93,3.63,0.12,19.70
2012,Feni,0.06,0,0.9,12.93,4.45,24.1,18.32,14.74,9.13,11.48,0.6,0,8.07,6.09,6.04,0.02,16.57
2013,Feni,0,0.11,0.84,0.57,17.19,16.43,12.32,13.29,12.43,6.23,0,0,6.66,6.20,3.12,0.04,13.62
2014,Feni,0,0.5,0.68,0.17,7.84,23.37,11.94,19.32,15.2,3.13,0,0,6.87,2.90,1.57,0.17,17.46
2015,Feni,0.03,0,0.48,3.93,8.19,12.47,36.39,14.26,15.93,7.84,0.03,0,8.37,4.20,3.94,0.01,19.76
2016,Feni,0,1.76,3.74,0.83,14.52,14.27,20.45,13.32,14.63,10.42,6.2,0,8.37,6.36,8.31,0.59,15.67
2017,Feni,0,0,5.45,14.87,7.1,25.77,33.29,19.1,21.43,15.87,0.13,3.03,12.23,9.14,8.00,1.01,24.90
2018,Feni,0,0.07,0.52,7.4,13.48,20.77,18.45,16.84,6.53,2.87,0,0.03,7.29,7.13,1.44,0.03,15.65
2019,Feni,0,2.86,1.1,4.77,6.42,8.7,25.87,15.81,6.53,2.87,0.13,3.03,6.55,4.10,1.50,1.96,14.23
2020,Feni,2.16,0.21,0.58,6.2,13.35,18.27,24.06,10.35,12.5,11.35,2.4,0,8.48,6.71,6.88,0.79,16.30
2021,Feni,0,0,0,0.53,2.42,17.67,25.55,14.16,9.87,6.23,0.63,2.87,6.71,0.98,3.43,0.96,16.81
2022,Feni,0.26,0.46,0.1,1,12.23,16.1,10.16,13,21.47,6.52,0,0,6.79,4.44,3.26,0.24,15.18
2023,Feni,0,0,4.77,1.33,4.77,16.1,6.52,23.97,8.5,5.58,4.2,0.84,6.42,3.62,4.89,0.28,13.77
