"Column","Z_Value","Sen_Slope","old_Sen_Slope","P_Value","S","VarS","Tau","Trend_Label"
3,-0.39132746567964,0,0,0.69555519964271,-13,940.333333333333,-0.0513833992094862,""
4,-0.3261062213997,0,0,0.744343990115481,-11,940.333333333333,-0.0434782608695652,""
5,-0.0936890243837932,0,0,0.925356189199061,-4,1025.33333333333,-0.0158102766798419,""
6,-0.361978186444057,0,0,0.717368331371852,-13,1099,-0.0513833992094862,""
7,-2.00068906117462,0,0,0.0454259089914815,-45,483.666666666667,-0.177865612648221,"-"
8,-1.5105960586764,0,0,0.130891398762931,-42,736.666666666667,-0.16600790513834,""
9,-2.18136753259685,-1.00104594679452,-1.44761904761905,0.0291562430600715,-81,1345,-0.320158102766798,"-"
10,-2.25441533683568,-1.10419885994068,-0.514705882352941,0.0241700513416498,-83,1323,-0.328063241106719,"-"
